case_id,image,label,shape,spacing,foreground_voxels,foreground_ratio
0,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/images/0.nii.gz,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/labels/0.nii.gz,"(832, 832, 576)","(np.float32(0.5), np.float32(0.5), np.float32(0.5))",407872,0.0010229508238823143
1,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/images/1.nii.gz,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/labels/1.nii.gz,"(832, 832, 576)","(np.float32(0.5), np.float32(0.5), np.float32(0.5))",286132,0.0007176245614778518
2,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/images/2.nii.gz,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/labels/2.nii.gz,"(832, 832, 576)","(np.float32(0.5), np.float32(0.5), np.float32(0.5))",634512,0.0015913683046720906
3,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/images/3.nii.gz,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/labels/3.nii.gz,"(832, 832, 576)","(np.float32(0.5), np.float32(0.5), np.float32(0.5))",621952,0.0015598675830046022
4,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/images/4.nii.gz,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/labels/4.nii.gz,"(832, 832, 576)","(np.float32(0.5), np.float32(0.5), np.float32(0.5))",369700,0.0009272147134132561
5,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/images/5.nii.gz,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/labels/5.nii.gz,"(832, 832, 576)","(np.float32(0.5), np.float32(0.5), np.float32(0.5))",567812,0.001424083421294584
6,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/images/6.nii.gz,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/labels/6.nii.gz,"(832, 832, 576)","(np.float32(0.5), np.float32(0.5), np.float32(0.5))",430740,0.0010803042078864646
7,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/images/7.nii.gz,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/labels/7.nii.gz,"(832, 832, 576)","(np.float32(0.5), np.float32(0.5), np.float32(0.5))",336668,0.0008443698218431542
8,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/images/8.nii.gz,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/labels/8.nii.gz,"(832, 832, 576)","(np.float32(0.5), np.float32(0.5), np.float32(0.5))",490896,0.0012311766133505917
9,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/images/9.nii.gz,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/labels/9.nii.gz,"(832, 832, 576)","(np.float32(0.5), np.float32(0.5), np.float32(0.5))",385120,0.0009658883701101249
10,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/images/10.nii.gz,/root/.cache/huggingface/hub/datasets--MedHK23--CCA/snapshots/a78045d4546ec9f52484920d66152db7f31f84a1/train/labels/10.nii.gz,"(832, 832, 576)","(np.float32(0.5), np.float32(0.5), np.float32(0.5))",343872,0.0008624375924556213
