I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6,time_seconds
0.0030040038,0.2906832,0.10525882,0.048213534,0.034997348,0.108911075,0.14963265,0.054692533,0.16189905,0.32442474,0.043831836,0.10785368,0.0
0.12925525,0.07918447,0.0711898,0.14554481,0.114837326,0.17181428,0.03844561,0.10273295,0.0469935,0.2562476,0.007800149,0.18853797,0.01
0.18110518,0.1701465,0.12327127,0.15256044,0.083727315,0.10352606,0.01740412,0.07045636,0.06653149,0.22660473,0.01661477,0.1366936,0.02
0.00045688593,0.15579574,0.028959097,0.08881486,0.041012593,0.01728367,0.031821195,0.122819595,0.030699255,0.23773994,0.121084675,0.11064498,0.03
0.41076773,0.29583326,0.13191627,0.29937074,0.14081982,0.0056269835,0.001794575,0.22697556,0.094700955,0.24635002,0.1098965,0.025702804,0.04
0.2906527,0.2012383,0.073770605,0.047774456,0.320187,0.33876774,0.0008691269,0.34558263,0.018894218,0.2450078,0.16140638,0.034640804,0.05
0.24147885,0.23808199,0.1082849,0.12904225,0.15911952,0.25536308,0.073679164,0.06789527,0.27250382,0.29513454,0.1631176,0.021498084,0.06
0.10814018,0.1910337,0.080171876,0.33922714,0.1406635,0.12246922,0.031744547,0.027143637,0.014138082,0.102583915,0.11250795,0.031525988,0.07
0.10806176,0.21294582,0.04475661,0.11864017,0.10304764,0.016652351,0.046476763,0.14495009,0.03925575,0.25532436,0.050246965,0.100498356,0.08
0.12421254,0.10736283,0.12928073,0.083401464,0.20078073,0.0051896702,0.008519795,0.22449681,0.10075152,0.068247214,0.17633994,0.034098484,0.09
0.050389837,0.021880906,0.13269685,0.06227613,0.13114467,0.080732346,0.009041385,0.072119474,0.14478524,0.1585275,0.2174835,0.06363554,0.1
0.16733576,0.012166124,0.03856491,0.03347773,0.028118365,0.10879496,0.04753934,0.073146895,0.022430593,0.098597825,0.14193328,0.010567039,0.11
0.050709035,0.060231306,0.046947546,0.09353148,0.054357022,0.03174899,0.12425466,0.05185591,0.08130191,0.17481345,0.048091006,0.037575312,0.12
0.05384695,0.036603868,0.07008869,0.108233474,0.08624071,0.14394504,0.0629983,0.11118976,0.03053741,0.09232168,0.17383477,0.100649886,0.13
0.13280648,0.077338725,0.1173353,0.046890937,0.09789277,0.095643,0.12321413,0.024152754,0.014998101,0.19539818,0.20127822,0.004140104,0.14
0.2561279,0.10759711,0.014269915,0.051607266,0.057954054,0.032745756,0.10875535,0.07052573,0.055843804,0.0324944,0.0156716,0.105427854,0.15
0.17251655,0.022845628,0.03371371,0.08727364,0.021158105,0.06213704,0.108778365,0.11158795,0.023821305,0.0015900731,0.103737965,0.05201665,0.16
0.07306046,0.043779273,0.15376808,0.14813317,0.11853622,0.15592584,0.020765083,0.030277234,0.052785464,0.19092435,0.08301252,0.08653596,0.17
0.043249443,0.07683133,0.15076204,0.06380816,0.000731656,0.056279223,0.10810813,0.07092851,0.02063996,0.05404671,0.010927373,0.13409677,0.18
