split,class,positive,total,prevalence
train,NORM,6351,14957,0.42461723607675333
train,MI,3812,14957,0.25486394330413853
train,STTC,3716,14957,0.24844554389249182
train,CD,3410,14957,0.22798689576786788
train,HYP,1850,14957,0.12368790532860868
validation,NORM,1370,3199,0.42825883088465144
validation,MI,828,3199,0.2588308846514536
validation,STTC,731,3199,0.22850890903407314
validation,CD,721,3199,0.22538293216630198
validation,HYP,392,3199,0.12253829321663019
test,NORM,1348,3232,0.41707920792079206
test,MI,829,3232,0.2564975247524752
test,STTC,788,3232,0.2438118811881188
test,CD,767,3232,0.23731435643564355
test,HYP,407,3232,0.12592821782178218
